日期,数值
20130527,52560
20130528,52710
20130529,52320
20130530,52440
20130531,52750
20130603,53050
20130604,53100
20130605,53630
20130606,53040
20130607,53170
20130613,51680
20130614,51590
20130617,51840
20130618,51140
20130619,51060
20130620,49810
20130621,49740
20130624,48070
20130625,48670
20130626,48150
20130627,48860
20130628,48640
20130701,49490
20130702,50140
20130703,50560
20130704,50100
20130705,49400
20130708,48800
20130709,49070
20130710,48790
20130711,50790
20130712,49820
20130715,49990
20130716,50330
20130717,49970
20130718,49770
20130719,49630
20130722,50410
20130723,50340
20130724,50600
20130725,50550
20130726,50110
20130729,49170
20130730,48960
20130731,49270
20130801,50050
20130802,50070
20130805,50210
20130806,50210
20130807,50090
20130808,51520
20130809,51520
20130812,52430
20130813,52200
20130814,52230
20130815,52170
20130816,53200
20130819,52830
20130820,52280
20130821,52560
20130822,52830
20130823,52790
20130826,53420
20130827,52900
20130828,52440
20130829,52450
20130830,52030
20130902,52560
20130903,52410
20130904,52080
20130905,51740
20130906,51910
20130909,52340
20130910,52040
20130911,52100
20130912,51480
20130913,51350
20130916,51240
20130917,51530
20130918,51740
20130923,52090
20130924,51800
20130925,51820
20130926,52300
20130927,52360
20130930,52810
20131008,52530
20131009,51780
20131010,51510
20131011,51730
20131014,52310
20131015,52210
20131016,52250
20131017,51850
20131018,52270
20131021,52360
20131022,52200
20131023,52130
20131024,51770
20131025,51200
20131028,51550
20131029,51550
20131030,52110
20131031,51830
20131101,52250
20131104,51720
20131105,51630
20131106,51600
20131107,51490
20131108,51480
20131111,51640
20131112,51480
20131113,50590
20131114,50420
20131115,50050
20131118,50370
20131119,49900
20131120,50450
20131121,50350
20131122,50540
20131125,50560
20131126,50840
20131127,50690
20131128,50440
20131129,50630
20131202,50650
20131203,50170
20131204,50380
20131205,50720
20131206,50900
20131209,50860
20131210,51070
20131211,51070
20131212,51550
20131213,51130
20131216,51400
20131217,51430
20131218,51290
20131219,51040
20131220,51380
20131223,51270
20131224,51430
20131225,52340
20131226,52210
20131227,52400
20131230,52330
20131231,52290
20140102,52670
20140103,51900
20140106,51760
20140107,51850
20140108,52040
20140109,51220
20140110,51330
20140113,51640
20140114,51760
20140115,51390
20140116,51750
20140117,51830
20140120,51810
20140121,51640
20140122,51640
20140123,51430
20140124,51290
20140127,50990
20140128,51020
20140129,51080
20140130,50940
20140207,51010
20140210,51060
20140211,50360
20140212,50630
20140213,50590
20140214,50670
