time,open,high,low,close,vol
 2013/04/08,623.2,623.47,613.48,621.21,2378705
 2013/04/09,622.58,627.74,621.1,624.71,2830690
 2013/04/10,623.83,631.76,622.82,631.76,2971125
 2013/04/11,633.82,634.95,623.01,623.27,2453926
 2013/04/12,622.83,624.83,618.73,619.34,1987800
 2013/04/15,616.77,617.64,604.56,606.1,2964375
 2013/04/16,601.64,606.25,597.07,605.28,2655078
 2013/04/17,605.06,605.32,598.76,602.48,1903463
 2013/04/18,599.33,608.88,597.79,603.06,2366500
 2013/04/19,604.72,619.81,604.21,617.74,3435180
 2013/04/22,613.82,615.26,611.18,614.93,2790634
 2013/04/23,614.48,614.48,595.53,596.01,3125855
 2013/04/24,597.23,607.42,595.66,603.18,3054344
 2013/04/25,602.03,603.6,593.19,596.96,3305943
 2013/04/26,599.77,601.9,589.21,589.3,2212059
 2013/05/02,586.13,586.13,574.23,576.78,2728473
 2013/05/03,578.44,589.74,577.28,581.8,3147151
 2013/05/06,585.54,592.83,585.54,589.64,3235326
 2013/05/07,587.4,598.89,584.24,594.7,3780486
 2013/05/08,596.94,600.78,591.84,594.07,2900449
 2013/05/09,594.38,595.35,579.14,582.4,4577019
 2013/05/10,580.92,591.51,580.09,591.51,3439316
 2013/05/13,592.31,593.53,586.18,589.1,2652644
 2013/05/14,587.87,589.2,574.87,579.04,2674971
 2013/05/15,578.74,580.43,575.25,577.09,2637754
 2013/05/16,575.8,584.31,572.22,584.23,3434645
 2013/05/17,584.31,607.98,582.79,606.15,6728885
 2013/05/20,605.35,606.88,600.29,602.58,5901667
